year	month	day	tSnowMelt(mm)	CN	SR(m3/s)	PET(mm)	AET(mm)	Infil(mm)	BF(m3/s)	Discharge(m3/s)
2013.0	8.0	13.0	0	53.1434882625	0.00733979443315	7.60164733617	0	0	0.0576386852473	0.0649784796805	
2013.0	8.0	14.0	0	53.0442525519	0.00587183554652	7.55708272833	0	0	0.054756750985	0.0606285865315	
2013.0	8.0	15.0	0	52.9474390525	0.00469746843722	7.40743813976	0	0	0.0520189134357	0.0567163818729	
2013.0	8.0	16.0	0	52.8530443698	0.00375797474977	6.88347915854	0	0	0.0494179677639	0.0531759425137	
2013.0	8.0	17.0	0	52.7610649536	0.00300637979982	7.23753312589	0	0	0.0469470693757	0.0499534491756	
2013.0	8.0	18.0	0	52.6714971161	0.00240510383986	7.75166534792	0	0	0.044599715907	0.0470048197468	
2013.0	8.0	19.0	0	52.5843370490	0.00192408307188	8.02953748873	0	0	0.0423697301116	0.0442938131835	
2013.0	8.0	20.0	0	52.4995808410	0.00153926645751	6.76530554169	0	0	0.040251243606	0.0417905100635	
2013.0	8.0	21.0	0	52.4172244941	0.00123141316601	6.55061760848	3.03843807860	0	0.0382386814257	0.0394700945917	
2013.0	8.0	22.0	0	52.3372639393	0.000985130532805	6.24169760704	0.993762068218	0	0.0363267473544	0.0373118778872	
2013.0	8.0	23.0	0	52.2596950529	0.000788104426244	5.10313193262	2.62281898041	0	0.0345104099867	0.035298514413	
2013.0	8.0	24.0	0	52.1845136711	0.000630483540995	7.69263601248	0	0	0.0327848894874	0.0334153730284	
2013.0	8.0	25.0	0	52.1117156044	0.000504386832796	9.00441278073	0	0	0.031145645013	0.0316500318458	
2013.0	8.0	26.0	0	52.0412966523	0.000403509466237	6.99219463375	0	0	0.0295883627624	0.0299918722286	
2013.0	8.0	27.0	0	51.9732526163	0.000322807572989	6.36720000179	3.21067867654	0	0.0281089446242	0.0284317521972	
2013.0	8.0	28.0	0	51.9075793136	0.000258246058392	6.52799775728	2.30012822442	0	0.026703497393	0.0269617434514	
2013.0	8.0	29.0	0	51.8442725893	0.000206596846713	6.13414671311	1.54376341588	0	0.0253683225234	0.0255749193701	
2013.0	8.0	30.0	0	51.7833283290	0.000165277477371	7.21258824724	0	0	0.0240999063972	0.0242651838746	
2013.0	8.0	31.0	0	51.7247424704	0.000132221981896	8.00042125696	0	0	0.0228949110773	0.0230271330592	
2013.0	9.0	1.0	0	51.6685110143	0.000105777585517	7.62140444091	0	0	0.0217501655235	0.021855943109	
2013.0	9.0	2.0	0	51.6146300360	8.46220684138e-05	6.25485115987	0	0	0.0206626572473	0.0207472793157	
2013.0	9.0	3.0	0	51.5630956951	6.7697654731e-05	8.3703316091	0	0	0.0196295243849	0.0196972220397	
2013.0	9.0	4.0	0	51.5139042455	5.41581237848e-05	8.38877186155	0	0	0.0186480481657	0.0187022062895	
2013.0	9.0	5.0	0	51.4670520451	4.33264990278e-05	9.23893587213	0	0	0.0177156457574	0.0177589722564	
2013.0	9.0	6.0	0	51.4225355646	0.00154158108306	6.66293228503	3.95127424571	0	0.0168298634695	0.0183714445526	
2013.0	9.0	7.0	0	51.3803513961	0.00123326486645	7.07048503860	1.38068373357	0	0.0159883702961	0.0172216351625	
2013.0	9.0	8.0	0	51.3404962610	0.00098661189316	6.20557854062	0	0	0.0151889517813	0.0161755636744	
2013.0	9.0	9.0	0	51.3029670181	0.000789289514528	7.86908207520	0	0	0.0144295041922	0.0152187937067	
2013.0	9.0	10.0	0	51.2677606703	0.000631431611622	6.10234097566	0	0	0.0137080289826	0.0143394605942	
2013.0	9.0	11.0	0	51.2348743716	0.000505145289298	5.77996758679	0	0	0.0130226275335	0.0135277728228	
2013.0	9.0	12.0	0	51.2043054337	0.000404116231438	5.14880140164	0	0	0.0123714961568	0.0127756123882	
2013.0	9.0	13.0	0	51.1760513314	0.000323292985151	5.17813956770	0	0	0.0117529213489	0.0120762143341	
2013.0	9.0	14.0	0	51.1501097088	0.000258634388121	4.92073270711	0	0	0.0111652752815	0.0114239096696	
2013.0	9.0	15.0	0	51.1264783835	0.000206907510496	6.61135977585	0	0	0.0106070115174	0.0108139190279	
2013.0	9.0	16.0	0	51.1051553521	0.000165526008397	7.65384522586	0	0	0.0100766609416	0.0102421869499	
2013.0	9.0	17.0	0	51.0861387936	0.000132420806718	5.98200682568	0.607625648024	0	0.00957282789447	0.00970524870119	
2013.0	9.0	18.0	0	51.0694270741	0.000105936645374	8.00847434359	0	0	0.00909418649975	0.00920012314513	
2013.0	9.0	19.0	0	51.0550187494	8.47493162993e-05	6.82641987084	0	0	0.00863947717476	0.00872422649106	
2013.0	9.0	20.0	0	51.0429125686	6.77994530395e-05	6.8030032523	0	0	0.00820750331603	0.00827530276906	
2013.0	9.0	21.0	0	51.0331074760	5.42395624316e-05	6.22411619929	0	0	0.00779712815022	0.00785136771266	
2013.0	9.0	22.0	0	51.0256026141	4.33916499453e-05	6.68616179414	0	0	0.00740727174271	0.00745066339266	
2013.0	9.0	23.0	0	51.0203973244	3.47133199562e-05	5.04959701559	0	0	0.00703690815558	0.00707162147553	
2013.0	9.0	24.0	0	51.0174911495	2.7770655965e-05	5.12062287578	0	0	0.0066850627478	0.00671283340376	
2013.0	9.0	25.0	0	51.0168838338	2.2216524772e-05	5.21700701397	0	0	0.00635080961041	0.00637302613518	
2013.0	9.0	26.0	0	51.0185753238	3.60690222978	5.22193489690	4.16866460130	7.83835366220	1.94605317967	5.55295540945	
2013.0	9.0	27.0	0	51.0225657683	2.88552178382	5.39366112628	1.63862230527	0	1.84875052069	4.73427230451	
2013.0	9.0	28.0	0	51.0288555183	2.30841742706	6.22654264182	0	0	1.75631299466	4.06473042171	
2013.0	9.0	29.0	0	51.0374451261	1.84673394165	4.28295856309	2.38749115323	0	1.66849734492	3.51523128657	
2013.0	9.0	30.0	0	51.0483353443	1.47738715332	5.03525683559	0	0	1.58507247768	3.06245963099	
2013.0	10.0	1.0	0	51.0615271241	1.18190972265	5.55980670061	0	0	1.50581885379	2.68772857645	
2013.0	10.0	2.0	0	51.0770216134	0.945527778123	6.54572603780	0	0	1.43052791110	2.37605568923	
2013.0	10.0	3.0	0	51.0948201548	0.756422222498	6.13285569276	0	0	1.35900151555	2.11542373805	
2013.0	10.0	4.0	0	51.1149242823	0.605137777999	6.54126102401	0	0	1.29105143977	1.89618921777	
2013.0	10.0	5.0	0	51.1373357186	0.484110222399	5.30215462181	0	0	1.22649886778	1.71060909018	
2013.0	10.0	6.0	0	51.1620563710	0.387288177919	5.23799133268	0	0	1.16517392439	1.55246210231	
2013.0	10.0	7.0	0	51.1890883280	0.972581828233	2.87111445623	2.24076129631	3.41072362733	1.97733138045	2.94991320868	
