year	month	day	34.5	190	1500	280	1000				
2005	3	16	0	0	0	1	0				
2005	3	17	1.5	5	0	4	0				
2005	3	18	0.5	1.5	0	6	0				
2005	3	19	0	0	0	0	0				
2005	3	20	0	0	0	0	0				
2005	3	21	0	0	0	0	0				
2005	3	22	0	0	0	0	0				
2005	3	23	0	0	0	0	0				
2005	3	24	6.5	7	0	10.5	0				
2005	3	25	11	24.5	12	40	0				
2005	3	26	1.5	6	0	5	7				
2005	3	27	0	0	0	0	0				
2005	3	28	0	0	0	0	0				
2005	3	29	0	0	0	0	0				
2005	3	30	0	0	0	0	0				
2005	3	31	2	5.5	0	3	0				
2005	4	1	0	1	0	2	0				
2005	4	2	0	0	0	1	0				
2005	4	3	2	6	0	9	0				
2005	4	4	6	9	0	8	0				
2005	4	5	16	32	2.5	25.5	0				
2005	4	6	0	0	3	0	0				
2005	4	7	0	0	0	0	0				
2005	4	8	0	0	0	0	0				
2005	4	9	0	0	0	0	0				
2005	4	10	0	0	0	0	0				
2005	4	11	0	0	0	0	0				
2005	4	12	0	0	0	0	0				
2005	4	13	0	0	0	0	0				
2005	4	14	0	0	0	0	0				
2005	4	15	0	0	0	0	0				
2005	4	16	1.5	0	0	0	0				
2005	4	17	0	0	0	0	0				
2005	4	18	0	0	0	0	0				
2005	4	19	0	0	0	0	0				
2005	4	20	0	0	0	0	0				
2005	4	21	0	0	0	0	0				
2005	4	22	0	0	0	0	0				
2005	4	23	0	0	0	0	0				
2005	4	24	0	0	0	0	0				
2005	4	25	0	0	0	0	0				
2005	4	26	1	8	0	5.5	0				
2005	4	27	2	4	0	2	0				
2005	4	28	0	0	0	0	0				
2005	4	29	0	0	0	0	0				
2005	4	30	0	0	0	0	0				
2005	5	1	0	0	0	0	0				
2005	5	2	0	0	0	0	0				
2005	5	3	0	2	0	0	0				
2005	5	4	2	3	0	5	10				
2005	5	5	1.5	4	4	4	0				
